Nama Produk,SKU / Kode Produk,Barcode,Kategori,Satuan Dasar,Merk / Brand,Lokasi / Rak,Hitung Stok (ya/tidak),Harga Modal / Beli,Harga Jual Eceran,Harga Jual Grosir,Harga Jual Promo,Diskon per Item (Rp),Stok di Rak / Display,Stok di Gudang,Stok Minimum,Stok Minimum Gudang,Satuan Beli dari Supplier,Isi per Satuan Beli,Satuan Jual Besar,Harga Jual Besar Satuan,Harga Jual Besar Grosir,Harga Jual Besar Promo,Produk Master (ID),Qty Isi per Paket,Jenis Isi Paket,Satuan Isi Paket,HPP (AVCO),Total Aset
SELANG REGULATOR KOMPOR,MSLGREGK,MSLGREGK,Rumah tangga,PCS,,,ya,0,45000,0,,0,0,1,5,,,1,,,,,,,,,0,0
SELANG SHOWER,MSLGSHWR,MSLGSHWR,Sanitary,PCS,,,ya,0,50000,0,,0,5,0,5,,,1,,,,,,,,,0,0
SELANG SHOWER FLEXIBLE,SLG SHW FLX,MNOSEL02,Umum,PCS,,,tidak,0,40000,0,0,0,0,0,3,,,1,,,,,,,,,0,0
SELANG TUKANG 1/4,MSLTK14,MNOSEL12,Alat tukang,MTR,,,tidak,0,5000,0,,0,0,0,5,,ROL,100,ROL,500000,0,,,,,,0,0
SEMPROTAN AIR PISTOL 506,S AIR PVC03,MHISEM01,Umum,PCS,HIOSHI,,tidak,0,18000,0,,0,0,0,3,,,1,,,,,,,,,0,0
SEMPROTAN BURUNG 1 LTR,MSMBUR02,MSMBUR02,Sanitary,PCS,,,tidak,0,22000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SEMPROTAN BURUNG 1/2 LTR,MSMBUR01,MSMBUR01,Sanitary,PCS,,,tidak,0,17000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SEMPROTAN LURUS KUNINGAN,MNOSEM01,MNOSEM01,Umum,PCS,,,tidak,0,20000,0,,0,0,0,5,,PCS,1,,,,,,,,,0,0
SENDOK BESI MURAH,SENDOKSS,SENDOKSS,Plastik,PCS,,,ya,1350,2000,0,,0,0,12,5,,,1,,,,,,,,,0,0
SENTER,MNOSEN01,MNOSEN01,Umum,PCS,,,tidak,0,0,0,0,0,0,0,3,,PCS,1,PCS,0,0,0,,,,,0,0
SENTER LUBY 2673,MLUSEN09,MLUSEN09,Rumah tangga,PCS,LUBY,Area 04,tidak,94500,115000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 2675 B,MLUSEN08,MLUSEN08,Rumah tangga,PCS,LUBY,Area 04,tidak,79300,100000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 2871,MLUSEN01,MLUSEN01,Rumah tangga,PCS,LUBY,Area 04,tidak,35500,48000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 2879 PUTIH,MLUSEN03,MLUSEN03,Rumah tangga,PCS,LUBY,Area 04,tidak,94900,120000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 2880 KUNING,MLUSEN04,MLUSEN04,Rumah tangga,PCS,LUBY,Area 04,tidak,93900,115000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 2883 PUTIH,MLUSEN02,MLUSEN02,Rumah tangga,PCS,LUBY,Area 04,tidak,44900,60000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 2911 PUTIH,MLUSEN05,MLUSEN05,Rumah tangga,PCS,LUBY,Area 04,tidak,83700,105000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
SENTER LUBY 770 C,MLUSEN10,MLUSEN10,Rumah tangga,PCS,LUBY,Area 04,tidak,109900,140000,0,0,0,0,0,5,,,1,,,,,,,,,0,0
